"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1979",34873.8392,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1980",33181.0892,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1981",33964.2666,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1982",34140.8654,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1983",36746.1412,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1984",42419.1571,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1985",44024.4936,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1986",48437.6924,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1987",52531.3596,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1988",53075.9219,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1989",55554.8025,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1990",61807.8186,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1991",67652.1177,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1992",72665.3981,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1993",79560.4307,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1994",83071.7352,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1995",91345.3018,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1996",101287.4025,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1997",105925.0413,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1998",107954.4513,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","1999",118633.0695,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2000",128885.2517,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2001",128178.8564,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2002",128817.3291,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2003",130478.7756,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2004",134991.7912,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2005",139002.77,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2006",144759.6556,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2007",150563.2011,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2008",154183.7724,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2009",161427.2776,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2010",162815.8524,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2011",170310.3759,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2012",179342.3134,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2013",190018.5691,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2014",202999.4691,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2015",216884.6259,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2016",228850.2302,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2017",238237.1373,
"AUS","TRADEGOODSERV","EXP","MLN_USD","A","2018",247360.032,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1979",46215.5531,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1980",47917.0107,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1981",50257.0115,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1982",50214.3342,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1983",51009.704,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1984",55253.8613,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1985",60201.5135,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1986",57762.003,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1987",59744.2959,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1988",64677.3458,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1989",71496.9711,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1990",77625.8491,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1991",79905.9501,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1992",80960.2177,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1993",79038.9012,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1994",83534.7041,"E"
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1995",89553.7082,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1996",93707.646,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1997",104041.5574,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1998",112210.3644,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","1999",119429.9339,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2000",135582.3359,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2001",143406.7898,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2002",149553.5178,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2003",150348.3849,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2004",163370.1665,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2005",174258.9623,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2006",187461.1222,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2007",201655.3197,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2008",206032.5861,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2009",176429.6015,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2010",199596.7017,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2011",211443.4878,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2012",214483.3994,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2013",215857.4936,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2014",222090.5978,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2015",228862.4581,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2016",235894.7746,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2017",247740.559,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2018",262319.2298,
"AUT","TRADEGOODSERV","EXP","MLN_USD","A","2019",269479.7459,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1979",101919.9162,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1980",101766.6739,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1981",105218.0873,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1982",108141.9037,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1983",110982.3526,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1984",118165.0558,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1985",118558.0739,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1986",121803.4505,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1987",127852.3562,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1988",140168.1138,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1989",151594.2214,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1990",158528.0132,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1991",163371.6634,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1992",169362.2118,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1993",168613.0955,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1994",182654.5598,"E"
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1995",191772.5794,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1996",201313.533,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1997",220419.3216,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1998",229539.7866,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","1999",240670.7949,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2000",270506.6085,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2001",271535.0114,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2002",280898.542,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2003",285436.0184,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2004",303114.1712,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2005",319819.0609,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2006",338050.7383,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2007",356427.3298,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2008",362870.1961,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2009",321955.5133,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2010",355564.7217,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2011",372031.9222,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2012",370220.6827,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2013",371526.2856,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2014",390833.6287,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2015",405379.1848,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2016",431825.3323,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2017",454645.6248,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2018",460125.9809,
"BEL","TRADEGOODSERV","EXP","MLN_USD","A","2019",464754.6069,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1979",119200.1235,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1980",120474.8433,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1981",122537.7269,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1982",120846.9753,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1983",127836.3909,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1984",151641.0519,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1985",158440.4383,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1986",165569.0731,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1987",170855.9492,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1988",186414.9696,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1989",188015.686,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1990",196562.3247,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1991",199750.9534,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1992",214600.8702,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1993",237767.5616,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1994",268238.6902,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1995",292021.4013,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1996",308735.0268,
"CAN","TRADEGOODSERV","EXP","MLN_USD","A","1997",335274.482,
