"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1979",137701.3621,
"AUS","GDP","TOT","MLN_USD","A","1980",154717.9327,
"AUS","GDP","TOT","MLN_USD","A","1981",177931.5468,
"AUS","GDP","TOT","MLN_USD","A","1982",181564.8993,
"AUS","GDP","TOT","MLN_USD","A","1983",196115.5179,
"AUS","GDP","TOT","MLN_USD","A","1984",211311.6208,
"AUS","GDP","TOT","MLN_USD","A","1985",228472.1229,
"AUS","GDP","TOT","MLN_USD","A","1986",239508.9215,
"AUS","GDP","TOT","MLN_USD","A","1987",260412.5065,
"AUS","GDP","TOT","MLN_USD","A","1988",282412.3501,
"AUS","GDP","TOT","MLN_USD","A","1989",299026.1061,
"AUS","GDP","TOT","MLN_USD","A","1990",303558.0769,
"AUS","GDP","TOT","MLN_USD","A","1991",313289.6273,
"AUS","GDP","TOT","MLN_USD","A","1992",333775.4842,
"AUS","GDP","TOT","MLN_USD","A","1993",354812.0702,
"AUS","GDP","TOT","MLN_USD","A","1994",380162.9734,
"AUS","GDP","TOT","MLN_USD","A","1995",402520.1413,
"AUS","GDP","TOT","MLN_USD","A","1996",423165.0616,
"AUS","GDP","TOT","MLN_USD","A","1997",449579.6029,
"AUS","GDP","TOT","MLN_USD","A","1998",476939.4635,
"AUS","GDP","TOT","MLN_USD","A","1999",509779.8682,
"AUS","GDP","TOT","MLN_USD","A","2000",537551.7552,
"AUS","GDP","TOT","MLN_USD","A","2001",568121.286,
"AUS","GDP","TOT","MLN_USD","A","2002",599301.22,
"AUS","GDP","TOT","MLN_USD","A","2003",635902.7982,
"AUS","GDP","TOT","MLN_USD","A","2004",674858.4809,
"AUS","GDP","TOT","MLN_USD","A","2005",717705.0792,
"AUS","GDP","TOT","MLN_USD","A","2006",773963.6385,
"AUS","GDP","TOT","MLN_USD","A","2007",824725.9546,
"AUS","GDP","TOT","MLN_USD","A","2008",851983.1297,
"AUS","GDP","TOT","MLN_USD","A","2009",902707.1812,
"AUS","GDP","TOT","MLN_USD","A","2010",942682.5259,
"AUS","GDP","TOT","MLN_USD","A","2011",992327.3798,
"AUS","GDP","TOT","MLN_USD","A","2012",997527.3466,
"AUS","GDP","TOT","MLN_USD","A","2013",1104626.1349,
"AUS","GDP","TOT","MLN_USD","A","2014",1118494.1579,
"AUS","GDP","TOT","MLN_USD","A","2015",1126611.5156,
"AUS","GDP","TOT","MLN_USD","A","2016",1216419.3956,
"AUS","GDP","TOT","MLN_USD","A","2017",1262007.0888,
"AUS","GDP","TOT","MLN_USD","A","2018",1342135.7475,
"AUT","GDP","TOT","MLN_USD","A","1979",71520.0856,"E"
"AUT","GDP","TOT","MLN_USD","A","1980",79330.7441,"E"
"AUT","GDP","TOT","MLN_USD","A","1981",86711.8591,"E"
"AUT","GDP","TOT","MLN_USD","A","1982",93920.8546,"E"
"AUT","GDP","TOT","MLN_USD","A","1983",100501.2391,"E"
"AUT","GDP","TOT","MLN_USD","A","1984",104180.4334,"E"
"AUT","GDP","TOT","MLN_USD","A","1985",110160.5386,"E"
"AUT","GDP","TOT","MLN_USD","A","1986",114965.3399,"E"
"AUT","GDP","TOT","MLN_USD","A","1987",119406.7,"E"
"AUT","GDP","TOT","MLN_USD","A","1988",127693.0217,"E"
"AUT","GDP","TOT","MLN_USD","A","1989",137857.1311,"E"
"AUT","GDP","TOT","MLN_USD","A","1990",149232.6163,"E"
"AUT","GDP","TOT","MLN_USD","A","1991",159589.017,"E"
"AUT","GDP","TOT","MLN_USD","A","1992",166643.0803,"E"
"AUT","GDP","TOT","MLN_USD","A","1993",171490.0126,"E"
"AUT","GDP","TOT","MLN_USD","A","1994",179359.3321,"E"
"AUT","GDP","TOT","MLN_USD","A","1995",188005.8124,
"AUT","GDP","TOT","MLN_USD","A","1996",195128.4482,
"AUT","GDP","TOT","MLN_USD","A","1997",202532.8953,
"AUT","GDP","TOT","MLN_USD","A","1998",212777.0677,
"AUT","GDP","TOT","MLN_USD","A","1999",220639.939,
"AUT","GDP","TOT","MLN_USD","A","2000",235435.9987,
"AUT","GDP","TOT","MLN_USD","A","2001",238980.7338,
"AUT","GDP","TOT","MLN_USD","A","2002",251984.7843,
"AUT","GDP","TOT","MLN_USD","A","2003",260771.9482,
"AUT","GDP","TOT","MLN_USD","A","2004",275748.2481,
"AUT","GDP","TOT","MLN_USD","A","2005",288086.7221,
"AUT","GDP","TOT","MLN_USD","A","2006",311039.3117,
"AUT","GDP","TOT","MLN_USD","A","2007",326756.4455,
"AUT","GDP","TOT","MLN_USD","A","2008",343812.9764,
"AUT","GDP","TOT","MLN_USD","A","2009",341721.5628,
"AUT","GDP","TOT","MLN_USD","A","2010",351576.6697,
"AUT","GDP","TOT","MLN_USD","A","2011",373031.477,
"AUT","GDP","TOT","MLN_USD","A","2012",391635.1762,
"AUT","GDP","TOT","MLN_USD","A","2013",406370.2445,
"AUT","GDP","TOT","MLN_USD","A","2014",417059.5187,
"AUT","GDP","TOT","MLN_USD","A","2015",431091.5577,
