"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1979",9429.997689,
"AUS","GDP","TOT","USD_CAP","A","1980",10448.711199,
"AUS","GDP","TOT","USD_CAP","A","1981",11923.069752,
"AUS","GDP","TOT","USD_CAP","A","1982",11957.488661,
"AUS","GDP","TOT","USD_CAP","A","1983",12740.151227,
"AUS","GDP","TOT","USD_CAP","A","1984",13563.527531,
"AUS","GDP","TOT","USD_CAP","A","1985",14470.976794,
"AUS","GDP","TOT","USD_CAP","A","1986",14952.112665,
"AUS","GDP","TOT","USD_CAP","A","1987",16011.688864,
"AUS","GDP","TOT","USD_CAP","A","1988",17082.563123,
"AUS","GDP","TOT","USD_CAP","A","1989",17783.929611,
"AUS","GDP","TOT","USD_CAP","A","1990",17788.238974,
"AUS","GDP","TOT","USD_CAP","A","1991",18125.990931,
"AUS","GDP","TOT","USD_CAP","A","1992",19096.236779,
"AUS","GDP","TOT","USD_CAP","A","1993",20119.993999,
"AUS","GDP","TOT","USD_CAP","A","1994",21350.873236,
"AUS","GDP","TOT","USD_CAP","A","1995",22356.144231,
"AUS","GDP","TOT","USD_CAP","A","1996",23219.188226,
"AUS","GDP","TOT","USD_CAP","A","1997",24403.170106,
"AUS","GDP","TOT","USD_CAP","A","1998",25631.433579,
"AUS","GDP","TOT","USD_CAP","A","1999",27098.221278,
"AUS","GDP","TOT","USD_CAP","A","2000",28249.377533,
"AUS","GDP","TOT","USD_CAP","A","2001",29474.974238,
"AUS","GDP","TOT","USD_CAP","A","2002",30740.962903,
"AUS","GDP","TOT","USD_CAP","A","2003",32245.447585,
"AUS","GDP","TOT","USD_CAP","A","2004",33856.852355,
"AUS","GDP","TOT","USD_CAP","A","2005",35570.808015,
"AUS","GDP","TOT","USD_CAP","A","2006",37844.782088,
"AUS","GDP","TOT","USD_CAP","A","2007",39597.743117,
"AUS","GDP","TOT","USD_CAP","A","2008",40094.833205,
"AUS","GDP","TOT","USD_CAP","A","2009",41615.326657,
"AUS","GDP","TOT","USD_CAP","A","2010",42787.358539,
"AUS","GDP","TOT","USD_CAP","A","2011",44419.309749,
"AUS","GDP","TOT","USD_CAP","A","2012",43879.180355,
"AUS","GDP","TOT","USD_CAP","A","2013",47761.21406,
"AUS","GDP","TOT","USD_CAP","A","2014",47644.762792,
"AUS","GDP","TOT","USD_CAP","A","2015",47304.816745,
"AUS","GDP","TOT","USD_CAP","A","2016",50284.172793,
"AUS","GDP","TOT","USD_CAP","A","2017",51297.139196,
"AUS","GDP","TOT","USD_CAP","A","2018",53700.680893,
"AUT","GDP","TOT","USD_CAP","A","1979",9473.580512,"E"
"AUT","GDP","TOT","USD_CAP","A","1980",10508.172485,"E"
