"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1979",25997.8559,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1980",28456.1177,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1981",31747.5603,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1982",29068.4471,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1983",30809.1139,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1984",35935.4807,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1985",35850.8554,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1986",34156.2854,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1987",37989.8803,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1988",47442.4577,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1989",50107.1227,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1990",47243.6226,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1991",48896.2241,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1992",52120.9297,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1993",56030.2058,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1994",65187.6266,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1995",68242.3936,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1996",74994.5295,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1997",82678.9197,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1998",86906.0567,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","1999",97376.2017,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2000",96427.4351,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2001",97728.4631,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2002",110625.9095,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2003",125559.1792,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2004",141253.3886,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2005",152743.1653,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2006",168880.4535,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2007",193271.1167,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2008",186652.4549,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2009",199977.1558,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2010",220508.7676,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2011",245561.985,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2012",246234.8593,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2013",240490.659,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2014",242808.5666,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2015",242520.9782,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2016",253935.0737,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2017",272207.9468,
"AUS","TRADEGOODSERV","IMP","MLN_USD","A","2018",271806.8366,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1979",53777.5103,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1980",56846.9734,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1981",56502.2919,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1982",54451.8562,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1983",56726.2607,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1984",60494.7639,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1985",63844.9305,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1986",61584.0261,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1987",63944.56,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1988",69982.5042,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1989",77091.5816,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1990",83243.7444,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1991",87501.1339,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1992",89352.7542,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1993",84447.7599,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1994",93172.5044,"E"
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1995",98674.232,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1996",102789.8151,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1997",110262.841,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1998",116611.3975,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","1999",121350.2597,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2000",133711.3215,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2001",140654.0436,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2002",141063.0975,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2003",146010.7629,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2004",157655.3324,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2005",166255.4949,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2006",175989.0173,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2007",185905.9735,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2008",187679.9931,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2009",165347.5422,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2010",185138.8424,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2011",196162.512,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2012",197974.3227,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2013",199348.3667,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2014",205242.3395,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2015",212693.0513,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2016",220459.6664,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2017",231573.8694,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2018",242149.3791,
"AUT","TRADEGOODSERV","IMP","MLN_USD","A","2019",248904.723,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1979",109103.5177,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1980",107007.6469,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1981",104936.8304,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1982",106358.4575,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1983",105047.8759,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1984",111763.0814,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1985",112218.2461,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1986",117367.8312,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1987",125293.5553,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1988",138349.34,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1989",151760.2264,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1990",159149.0268,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1991",163699.4541,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1992",170439.0652,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1993",169824.0436,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1994",182187.9291,"E"
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1995",190662.7795,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1996",201252.3915,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1997",217759.7278,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1998",228774.3297,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","1999",236491.5404,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2000",267272.1093,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2001",265252.9386,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2002",268053.9456,
"BEL","TRADEGOODSERV","IMP","MLN_USD","A","2003",271966.1279,
